Teacher Number,Teadcher_Name,AP_Name,AP_ID
TCH_119AC5E4,"Bellamy, Marcus",Awesome AP 1,AP_12EEC59A
TCH_23028C66,"Dupree, Alston",Awesome AP 1,AP_12EEC59A
TCH_14472D02,"Ingram, Valerie",Awesome AP 1,AP_12EEC59A
TCH_60AB36ED,"Jefferson, Calvin",Awesome AP 1,AP_12EEC59A
TCH_E31C0D41,"Monroe, Claudette",Awesome AP 1,AP_12EEC59A
TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
TCH_68DC1895,"Thorne, Cedric",Awesome AP 1,AP_12EEC59A
TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
TCH_7B1C517F,"Abrams, Patricia",Awesome AP 1,AP_12EEC59A
TCH_836E9B90,"Caldwell, Renee",Awesome AP 1,AP_12EEC59A
TCH_9B6C1DA4,"Hastings, Derek",Awesome AP 1,AP_12EEC59A
TCH_64CDE3C3,"Prentiss, Howard",Awesome AP 1,AP_12EEC59A
TCH_50354BE2,"Zimmer, Franklin",Awesome AP 1,AP_12EEC59A
TCH_CF85FA21,"Ashford, Monique",Awesome AP 2,AP_987F9BF3
TCH_F6ECC9B3,"Booker, Sylvester",Awesome AP 2,AP_987F9BF3
TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
TCH_742DB417,"Nash, Terrence",Awesome AP 2,AP_987F9BF3
TCH_F0799A62,"Okafor, Felicia",Awesome AP 2,AP_987F9BF3
TCH_147762C1,"Underwood, Naomi",Awesome AP 2,AP_987F9BF3
TCH_C9E3B28D,"Yates, Constance",Awesome AP 2,AP_987F9BF3
TCH_3CD6786A,"Crane, Dominique",Awesome AP 2,AP_987F9BF3
TCH_DAD81779,"Ellison, Tamara",Awesome AP 2,AP_987F9BF3
TCH_5C2EE62C,"Garrett, Simone",Awesome AP 2,AP_987F9BF3
TCH_BD08E45A,"Vance, Reginald",Awesome AP 2,AP_987F9BF3
TCH_1D25353A,"Figueroa, Andre",Awesome AP 3,AP_98D7BF59
TCH_E83A2D65,"Keane, Lorraine",Awesome AP 3,AP_98D7BF59
TCH_C7F77440,"Lawson, Gerald",Awesome AP 3,AP_98D7BF59
TCH_F6833AB7,"Quinn, Adrienne",Awesome AP 3,AP_98D7BF59
TCH_CE1AC804,"Rhodes, Leonard",Awesome AP 3,AP_98D7BF59
TCH_B0017323,"Whitfield, Sandra",Awesome AP 3,AP_98D7BF59
