School,Student_Number,Grade_Level,Subject,Course Name,Course Number,Section,Teacher Number,Teadcher_Name,metric_domain,metric_name,metric_category,value,ap_manager_name,ap_manager_id
Justice,STU_7AAE76B6,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Attendance,ADA%,,76,Awesome AP 2,AP_987F9BF3
Justice,STU_3F537115,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Attendance,ADA%,,76,Awesome AP 1,AP_12EEC59A
Justice,STU_7830FACE,5,HR,HR,HR,5Rutgers,TCH_68DC1895,"Thorne, Cedric",Attendance,ADA%,,76,Awesome AP 1,AP_12EEC59A
Justice,STU_5387FEE2,7,HR,HR,HR,7Brown,TCH_5C2EE62C,"Garrett, Simone",Attendance,ADA%,,76,Awesome AP 2,AP_987F9BF3
Justice,STU_D028EA59,8,HR,HR,HR,8Michigan,TCH_C7F77440,"Lawson, Gerald",Attendance,ADA%,,76,Awesome AP 3,AP_98D7BF59
Justice,STU_7D3836BB,8,HR,HR,HR,8Maryland,TCH_CE1AC804,"Rhodes, Leonard",Attendance,ADA%,,76,Awesome AP 3,AP_98D7BF59
Justice,STU_455D2B62,8,HR,HR,HR,8OhioState,TCH_E83A2D65,"Keane, Lorraine",Attendance,ADA%,,76,Awesome AP 3,AP_98D7BF59
Justice,STU_1A2F7A43,8,HR,HR,HR,8OhioState,TCH_E83A2D65,"Keane, Lorraine",Attendance,ADA%,,76,Awesome AP 3,AP_98D7BF59
Justice,STU_CF783B1B,8,HR,HR,HR,8PennSt,TCH_B0017323,"Whitfield, Sandra",Attendance,ADA%,,76,Awesome AP 3,AP_98D7BF59
Justice,STU_05133844,8,HR,HR,HR,8PennSt,TCH_B0017323,"Whitfield, Sandra",Attendance,ADA%,,76,Awesome AP 3,AP_98D7BF59
Justice,STU_8AE78356,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Attendance,ADA%,,77,Awesome AP 1,AP_12EEC59A
Justice,STU_01F053FF,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Attendance,ADA%,,77,Awesome AP 1,AP_12EEC59A
Justice,STU_5AE441A7,6,HR,HR,HR,6Lincoln,TCH_9B6C1DA4,"Hastings, Derek",Attendance,ADA%,,77,Awesome AP 1,AP_12EEC59A
Justice,STU_3E44EBA1,7,HR,HR,HR,7Columbia,TCH_DAD81779,"Ellison, Tamara",Attendance,ADA%,,77,Awesome AP 2,AP_987F9BF3
Justice,STU_4A18BC5A,7,HR,HR,HR,7Brown,TCH_5C2EE62C,"Garrett, Simone",Attendance,ADA%,,77,Awesome AP 2,AP_987F9BF3
Justice,STU_AE6F784C,8,HR,HR,HR,8Maryland,TCH_CE1AC804,"Rhodes, Leonard",Attendance,ADA%,,77,Awesome AP 3,AP_98D7BF59
Justice,STU_E437FB8D,8,HR,HR,HR,8Maryland,TCH_CE1AC804,"Rhodes, Leonard",Attendance,ADA%,,77,Awesome AP 3,AP_98D7BF59
Justice,STU_BC263E48,8,HR,HR,HR,8OhioState,TCH_E83A2D65,"Keane, Lorraine",Attendance,ADA%,,77,Awesome AP 3,AP_98D7BF59
Justice,STU_7ECBE6FD,8,HR,HR,HR,8OhioState,TCH_E83A2D65,"Keane, Lorraine",Attendance,ADA%,,77,Awesome AP 3,AP_98D7BF59
Justice,STU_6B97754D,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Attendance,ADA%,,78,Awesome AP 1,AP_12EEC59A
Justice,STU_248CA700,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Attendance,ADA%,,78,Awesome AP 1,AP_12EEC59A
Justice,STU_DEA75598,6,HR,HR,HR,6Howard,TCH_64CDE3C3,"Prentiss, Howard",Attendance,ADA%,,78,Awesome AP 1,AP_12EEC59A
Justice,STU_D757359A,6,HR,HR,HR,6Howard,TCH_64CDE3C3,"Prentiss, Howard",Attendance,ADA%,,78,Awesome AP 1,AP_12EEC59A
Justice,STU_CB0555B1,7,HR,HR,HR,7Upenn,TCH_BD08E45A,"Vance, Reginald",Attendance,ADA%,,78,Awesome AP 2,AP_987F9BF3
Justice,STU_7CC9E511,7,HR,HR,HR,7Princeton,TCH_3CD6786A,"Crane, Dominique",Attendance,ADA%,,78,Awesome AP 2,AP_987F9BF3
Justice,STU_FB5A4AB3,8,HR,HR,HR,8OhioState,TCH_E83A2D65,"Keane, Lorraine",Attendance,ADA%,,78,Awesome AP 3,AP_98D7BF59
Justice,STU_AB46A044,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Attendance,ADA%,,79,Awesome AP 2,AP_987F9BF3
Justice,STU_41500C81,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Attendance,ADA%,,79,Awesome AP 1,AP_12EEC59A
Justice,STU_3FC33139,5,HR,HR,HR,5Rutgers,TCH_68DC1895,"Thorne, Cedric",Attendance,ADA%,,79,Awesome AP 1,AP_12EEC59A
Justice,STU_747E8F0C,6,HR,HR,HR,6Howard,TCH_64CDE3C3,"Prentiss, Howard",Attendance,ADA%,,79,Awesome AP 1,AP_12EEC59A
Justice,STU_B532AB09,6,HR,HR,HR,6Spelhouse,TCH_64CDE3C3,"Prentiss, Howard",Attendance,ADA%,,79,Awesome AP 1,AP_12EEC59A
Justice,STU_BD07C819,6,HR,HR,HR,6Lincoln,TCH_9B6C1DA4,"Hastings, Derek",Attendance,ADA%,,79,Awesome AP 1,AP_12EEC59A
