School,Student_Number,Grade_Level,Subject,Course Name,Course Number,Section,Teacher Number,Teadcher_Name,metric_domain,metric_name,metric_category,value,ap_manager_name,ap_manager_id
School 1,STU_7AAE76B6,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Attendance,ADA%,,76.0,Awesome AP 2,AP_987F9BF3
School 1,STU_3F537115,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Attendance,ADA%,,76.0,Awesome AP 1,AP_12EEC59A
School 1,STU_7830FACE,5,HR,HR,HR,5Rutgers,TCH_68DC1895,"Thorne, Cedric",Attendance,ADA%,,76.0,Awesome AP 1,AP_12EEC59A
School 1,STU_5387FEE2,7,HR,HR,HR,7Brown,TCH_5C2EE62C,"Garrett, Simone",Attendance,ADA%,,76.0,Awesome AP 2,AP_987F9BF3
School 1,STU_D028EA59,8,HR,HR,HR,8Michigan,TCH_C7F77440,"Lawson, Gerald",Attendance,ADA%,,76.0,Awesome AP 3,AP_98D7BF59
School 1,STU_7D3836BB,8,HR,HR,HR,8Maryland,TCH_CE1AC804,"Rhodes, Leonard",Attendance,ADA%,,76.0,Awesome AP 3,AP_98D7BF59
School 1,STU_455D2B62,8,HR,HR,HR,8OhioState,TCH_E83A2D65,"Keane, Lorraine",Attendance,ADA%,,76.0,Awesome AP 3,AP_98D7BF59
School 1,STU_1A2F7A43,8,HR,HR,HR,8OhioState,TCH_E83A2D65,"Keane, Lorraine",Attendance,ADA%,,76.0,Awesome AP 3,AP_98D7BF59
School 1,STU_CF783B1B,8,HR,HR,HR,8PennSt,TCH_B0017323,"Whitfield, Sandra",Attendance,ADA%,,76.0,Awesome AP 3,AP_98D7BF59
School 1,STU_05133844,8,HR,HR,HR,8PennSt,TCH_B0017323,"Whitfield, Sandra",Attendance,ADA%,,76.0,Awesome AP 3,AP_98D7BF59
School 1,STU_8AE78356,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Attendance,ADA%,,77.0,Awesome AP 1,AP_12EEC59A
School 1,STU_01F053FF,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Attendance,ADA%,,77.0,Awesome AP 1,AP_12EEC59A
School 1,STU_5AE441A7,6,HR,HR,HR,6Lincoln,TCH_9B6C1DA4,"Hastings, Derek",Attendance,ADA%,,77.0,Awesome AP 1,AP_12EEC59A
School 1,STU_3E44EBA1,7,HR,HR,HR,7Columbia,TCH_DAD81779,"Ellison, Tamara",Attendance,ADA%,,77.0,Awesome AP 2,AP_987F9BF3
School 1,STU_4A18BC5A,7,HR,HR,HR,7Brown,TCH_5C2EE62C,"Garrett, Simone",Attendance,ADA%,,77.0,Awesome AP 2,AP_987F9BF3
School 1,STU_AE6F784C,8,HR,HR,HR,8Maryland,TCH_CE1AC804,"Rhodes, Leonard",Attendance,ADA%,,77.0,Awesome AP 3,AP_98D7BF59
