grain_type,grain_key,grade,section,teacher_name,teacher_number,course_name,student_count,metric_domain,metric_name,metric_category,value,ap_manager_name,ap_manager_id
homeroom,5NJCU,5,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29,Attendance,% Chronic Absenteeism,,11.3,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27,Attendance,% Chronic Absenteeism,,10.4,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10,Attendance,% Chronic Absenteeism,,25,Awesome AP 1,AP_12EEC59A
homeroom,5TCNJ,5,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26,Attendance,% Chronic Absenteeism,,24.5,Awesome AP 2,AP_987F9BF3
homeroom,5WillyP,5,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30,Attendance,% Chronic Absenteeism,,19.2,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29,Attendance,% Chronic Absenteeism,,24.9,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28,Attendance,% Chronic Absenteeism,,26.5,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29,Attendance,% Chronic Absenteeism,,19.7,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30,Attendance,% Chronic Absenteeism,,26,Awesome AP 1,AP_12EEC59A
homeroom,7Brown,7,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30,Attendance,% Chronic Absenteeism,,17.9,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30,Attendance,% Chronic Absenteeism,,16.4,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27,Attendance,% Chronic Absenteeism,,15.8,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29,Attendance,% Chronic Absenteeism,,11.8,Awesome AP 2,AP_987F9BF3
homeroom,8Maryland,8,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29,Attendance,% Chronic Absenteeism,,11.9,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30,Attendance,% Chronic Absenteeism,,16.2,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30,Attendance,% Chronic Absenteeism,,7,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31,Attendance,% Chronic Absenteeism,,17.1,Awesome AP 3,AP_98D7BF59
grade,5,5,,,,,122,Attendance,% Chronic Absenteeism,,18.1,Awesome AP 1,AP_12EEC59A
grade,6,6,,,,,116,Attendance,% Chronic Absenteeism,,24.3,Awesome AP 1,AP_12EEC59A
grade,7,7,,,,,116,Attendance,% Chronic Absenteeism,,15.5,Awesome AP 2,AP_987F9BF3
grade,8,8,,,,,120,Attendance,% Chronic Absenteeism,,13.1,Awesome AP 3,AP_98D7BF59
homeroom,5NJCU,5,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29,Attendance,ADA%,,91.8,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27,Attendance,ADA%,,86.3,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10,Attendance,ADA%,,90,Awesome AP 1,AP_12EEC59A
homeroom,5TCNJ,5,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26,Attendance,ADA%,,86.8,Awesome AP 2,AP_987F9BF3
homeroom,5WillyP,5,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30,Attendance,ADA%,,91,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29,Attendance,ADA%,,94.9,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28,Attendance,ADA%,,87.9,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29,Attendance,ADA%,,89.4,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30,Attendance,ADA%,,89.6,Awesome AP 1,AP_12EEC59A
homeroom,7Brown,7,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30,Attendance,ADA%,,88.4,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30,Attendance,ADA%,,95,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27,Attendance,ADA%,,89.5,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29,Attendance,ADA%,,92.9,Awesome AP 2,AP_987F9BF3
homeroom,8Maryland,8,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29,Attendance,ADA%,,94.2,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30,Attendance,ADA%,,94.3,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30,Attendance,ADA%,,93.9,Awesome AP 3,AP_98D7BF59
