grain_type,grain_key,grade,section,teacher_name,teacher_number,course_name,student_count,metric_domain,metric_name,metric_category,value,ap_manager_name,ap_manager_id
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Attendance,% Chronic Absenteeism,,11.3,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Attendance,% Chronic Absenteeism,,10.4,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Attendance,% Chronic Absenteeism,,25.0,Awesome AP 1,AP_12EEC59A
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Attendance,% Chronic Absenteeism,,24.5,Awesome AP 2,AP_987F9BF3
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Attendance,% Chronic Absenteeism,,19.2,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Attendance,% Chronic Absenteeism,,24.9,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Attendance,% Chronic Absenteeism,,26.5,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Attendance,% Chronic Absenteeism,,19.7,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Attendance,% Chronic Absenteeism,,26.0,Awesome AP 1,AP_12EEC59A
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Attendance,% Chronic Absenteeism,,17.9,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Attendance,% Chronic Absenteeism,,16.4,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Attendance,% Chronic Absenteeism,,15.8,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Attendance,% Chronic Absenteeism,,11.8,Awesome AP 2,AP_987F9BF3
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Attendance,% Chronic Absenteeism,,11.9,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Attendance,% Chronic Absenteeism,,16.2,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Attendance,% Chronic Absenteeism,,7.0,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Attendance,% Chronic Absenteeism,,17.1,Awesome AP 3,AP_98D7BF59
grade,5,5.0,,,,,122.0,Attendance,% Chronic Absenteeism,,18.1,Awesome AP 1,AP_12EEC59A
grade,6,6.0,,,,,116.0,Attendance,% Chronic Absenteeism,,24.3,Awesome AP 1,AP_12EEC59A
grade,7,7.0,,,,,116.0,Attendance,% Chronic Absenteeism,,15.5,Awesome AP 2,AP_987F9BF3
grade,8,8.0,,,,,120.0,Attendance,% Chronic Absenteeism,,13.1,Awesome AP 3,AP_98D7BF59
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Attendance,ADA%,,91.8,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Attendance,ADA%,,86.3,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Attendance,ADA%,,90.0,Awesome AP 1,AP_12EEC59A
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Attendance,ADA%,,86.8,Awesome AP 2,AP_987F9BF3
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Attendance,ADA%,,91.0,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Attendance,ADA%,,94.9,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Attendance,ADA%,,87.9,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Attendance,ADA%,,89.4,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Attendance,ADA%,,89.6,Awesome AP 1,AP_12EEC59A
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Attendance,ADA%,,88.4,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Attendance,ADA%,,95.0,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Attendance,ADA%,,89.5,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Attendance,ADA%,,92.9,Awesome AP 2,AP_987F9BF3
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Attendance,ADA%,,94.2,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Attendance,ADA%,,94.3,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Attendance,ADA%,,93.9,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Attendance,ADA%,,94.5,Awesome AP 3,AP_98D7BF59
grade,5,5.0,,,,,122.0,Attendance,ADA%,,89.2,Awesome AP 1,AP_12EEC59A
grade,6,6.0,,,,,116.0,Attendance,ADA%,,90.5,Awesome AP 1,AP_12EEC59A
grade,7,7.0,,,,,116.0,Attendance,ADA%,,91.4,Awesome AP 2,AP_987F9BF3
grade,8,8.0,,,,,120.0,Attendance,ADA%,,94.2,Awesome AP 3,AP_98D7BF59
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Attendance,ADA% Change from Last Week,,-3.8,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Attendance,ADA% Change from Last Week,,0.2,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Attendance,ADA% Change from Last Week,,-1.8,Awesome AP 1,AP_12EEC59A
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Attendance,ADA% Change from Last Week,,-3.2,Awesome AP 2,AP_987F9BF3
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Attendance,ADA% Change from Last Week,,2.6,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Attendance,ADA% Change from Last Week,,2.8,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Attendance,ADA% Change from Last Week,,-1.9,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Attendance,ADA% Change from Last Week,,3.9,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Attendance,ADA% Change from Last Week,,-3.5,Awesome AP 1,AP_12EEC59A
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Attendance,ADA% Change from Last Week,,-2.0,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Attendance,ADA% Change from Last Week,,-2.9,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Attendance,ADA% Change from Last Week,,0.8,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Attendance,ADA% Change from Last Week,,-1.3,Awesome AP 2,AP_987F9BF3
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Attendance,ADA% Change from Last Week,,3.0,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Attendance,ADA% Change from Last Week,,0.8,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Attendance,ADA% Change from Last Week,,3.6,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Attendance,ADA% Change from Last Week,,0.2,Awesome AP 3,AP_98D7BF59
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Attendance,Students w/ 2+ Absences Last 5 Days,,3.0,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Attendance,Students w/ 2+ Absences Last 5 Days,,0.0,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Attendance,Students w/ 2+ Absences Last 5 Days,,2.0,Awesome AP 1,AP_12EEC59A
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Attendance,Students w/ 2+ Absences Last 5 Days,,4.0,Awesome AP 2,AP_987F9BF3
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Attendance,Students w/ 2+ Absences Last 5 Days,,5.0,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Attendance,Students w/ 2+ Absences Last 5 Days,,6.0,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Attendance,Students w/ 2+ Absences Last 5 Days,,1.0,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Attendance,Students w/ 2+ Absences Last 5 Days,,8.0,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Attendance,Students w/ 2+ Absences Last 5 Days,,5.0,Awesome AP 1,AP_12EEC59A
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Attendance,Students w/ 2+ Absences Last 5 Days,,4.0,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Attendance,Students w/ 2+ Absences Last 5 Days,,0.0,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Attendance,Students w/ 2+ Absences Last 5 Days,,4.0,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Attendance,Students w/ 2+ Absences Last 5 Days,,2.0,Awesome AP 2,AP_987F9BF3
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Attendance,Students w/ 2+ Absences Last 5 Days,,8.0,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Attendance,Students w/ 2+ Absences Last 5 Days,,1.0,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Attendance,Students w/ 2+ Absences Last 5 Days,,7.0,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Attendance,Students w/ 2+ Absences Last 5 Days,,6.0,Awesome AP 3,AP_98D7BF59
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Behavior,# Incidents,Defiance,17.0,Awesome AP 1,AP_12EEC59A
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Behavior,# Incidents,Disruption,2.0,Awesome AP 1,AP_12EEC59A
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Behavior,# Incidents,Conflict,18.0,Awesome AP 1,AP_12EEC59A
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,Behavior,# Incidents,Phone,13.0,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Behavior,# Incidents,Defiance,20.0,Awesome AP 1,AP_12EEC59A
