School,Student_Number,Grade_Level,Subject,Course Name,Course Number,Section,Teacher Number,Teadcher_Name,ap_manager_name,ap_manager_id
Justice,STU_4588D877,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_F252EF0A,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_8AE78356,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_DD819BA6,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_E794E8F7,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_61B6B618,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_04A03468,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_061856C0,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_079C0C46,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_2F65AB14,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_C5013AB2,5,HR,HR,HR,5NJCU,TCH_63F3D589,"Xavier, Darnell",Awesome AP 1,AP_12EEC59A
Justice,STU_1D74FE57,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_A6DEDEA8,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_3A4EE9C9,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_35A67595,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_84159FB8,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_6E2B1171,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_A099F3CC,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_D427BF93,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_7AAE76B6,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_F3186910,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_AB46A044,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_B4A925C7,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_E8AD2394,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_76D55B0F,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_8659300B,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_AC24EF9C,5,HR,HR,HR,5TCNJ,TCH_4F19DB35,"Davenport, James",Awesome AP 2,AP_987F9BF3
Justice,STU_6AB60B44,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
Justice,STU_41500C81,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
Justice,STU_0F1D970C,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
Justice,STU_BCA5ABEF,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
Justice,STU_FB4C0337,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
Justice,STU_0DBA1361,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
Justice,STU_6B97754D,5,HR,HR,HR,5WillyP,TCH_785F4790,"Singleton, Yolanda",Awesome AP 1,AP_12EEC59A
